day: 0, date: 2009-03-04, price: 1.2633, Account Balance: 10000, in play: 0, total: 10000
day: 121, date: 2009-07-03, price: 1.39792, Account Balance: 8896.356047735157, in play: 1069.4371900337942, total: 9965.79323776895
day: 122, date: 2009-07-04, price: 1.39792, Account Balance: 8762.91070701913, in play: 1202.8825307498216, total: 9965.79323776895
day: 123, date: 2009-07-05, price: 1.39573, Account Balance: 8631.467046413842, in play: 1332.2358182586024, total: 9963.702864672445
day: 124, date: 2009-07-06, price: 1.39914, Account Balance: 8501.995040717635, in play: 1465.279018727213, total: 9967.274059444848
day: 125, date: 2009-07-07, price: 1.38957, Account Balance: 8374.46511510687, in play: 1581.9142650368963, total: 9956.379380143766
day: 126, date: 2009-07-08, price: 1.38615, Account Balance: 9042.940649132302, in play: 924.6930631567163, total: 9967.633712289018
day: 127, date: 2009-07-09, price: 1.4009, Account Balance: 9043.315421459592, in play: 937.0660196264821, total: 9980.381441086074
day: 128, date: 2009-07-10, price: 1.39351, Account Balance: 9044.758868082974, in play: 930.686995292707, total: 9975.44586337568
day: 129, date: 2009-07-11, price: 1.39351, Account Balance: 8909.08748506173, in play: 1066.3583783139516, total: 9975.44586337568
day: 130, date: 2009-07-12, price: 1.39712, Account Balance: 8775.451172785803, in play: 1203.1033735796152, total: 9978.554546365418
day: 131, date: 2009-07-13, price: 1.40015, Account Balance: 8643.819405194015, in play: 1337.6298441874278, total: 9981.449249381443
day: 132, date: 2009-07-14, price: 1.39787, Account Balance: 8514.162114116105, in play: 1464.8978093585386, total: 9979.059923474644
day: 133, date: 2009-07-15, price: 1.40908, Account Balance: 8386.449682404364, in play: 1605.3819299987197, total: 9991.831612403083
day: 134, date: 2009-07-16, price: 1.41309, Account Balance: 8666.433512546519, in play: 1329.169955521554, total: 9995.603468068073
day: 135, date: 2009-07-17, price: 1.40986, Account Balance: 9322.688868849924, in play: 671.3764706095849, total: 9994.065339459508
day: 136, date: 2009-07-18, price: 1.40986, Account Balance: 9182.848535817175, in play: 811.2168036423337, total: 9994.065339459508
day: 137, date: 2009-07-19, price: 1.41333, Account Balance: 9045.105807779917, in play: 951.2951462618396, total: 9996.400954041757
day: 138, date: 2009-07-20, price: 1.42075, Account Balance: 9033.77219700405, in play: 965.0821863709717, total: 9998.854383375021
