day: 0, date: 2009-03-04, price: 1.2633, Account Balance: 10000, in play: 0, total: 10000
day: 116, date: 2009-06-28, price: 1.40695, Account Balance: 8765.468706534217, in play: 1277.357741178203, total: 10042.82644771242
day: 117, date: 2009-06-29, price: 1.40691, Account Balance: 8633.986675936203, in play: 1408.7997180494522, total: 10042.786393985654
day: 118, date: 2009-06-30, price: 1.4098, Account Balance: 8504.47687579716, in play: 1541.4694321187144, total: 10045.946307915874
day: 119, date: 2009-07-01, price: 1.41447, Account Balance: 8939.401311167363, in play: 1103.5836269027973, total: 10042.98493807016
day: 120, date: 2009-07-02, price: 1.39596, Account Balance: 8955.399760659766, in play: 1073.3528489524783, total: 10028.752609612244
day: 121, date: 2009-07-03, price: 1.39792, Account Balance: 8957.157639401306, in play: 1076.6738533565708, total: 10033.831492757878
day: 122, date: 2009-07-04, price: 1.39792, Account Balance: 8822.800274810286, in play: 1211.0312179475904, total: 10033.831492757876
day: 123, date: 2009-07-05, price: 1.39573, Account Balance: 8690.458270688132, in play: 1341.2686757750118, total: 10031.726946463144
day: 124, date: 2009-07-06, price: 1.39914, Account Balance: 8560.10139662781, in play: 1475.2209752578287, total: 10035.322371885639
day: 125, date: 2009-07-07, price: 1.38957, Account Balance: 8431.699875678392, in play: 1592.6538531202757, total: 10024.353728798667
day: 126, date: 2009-07-08, price: 1.38615, Account Balance: 9107.617510035521, in play: 931.0538087711532, total: 10038.671318806675
day: 127, date: 2009-07-09, price: 1.4009, Account Balance: 9105.091532187706, in play: 943.5139942102319, total: 10048.605526397938
day: 128, date: 2009-07-10, price: 1.39351, Account Balance: 9106.544839190192, in play: 937.0911472845067, total: 10043.6359864747
day: 129, date: 2009-07-11, price: 1.39351, Account Balance: 8969.946666602338, in play: 1073.6893198723596, total: 10043.635986474697
day: 130, date: 2009-07-12, price: 1.39712, Account Balance: 8835.397466603303, in play: 1211.368559165505, total: 10046.766025768808
day: 131, date: 2009-07-13, price: 1.40015, Account Balance: 8702.866504604253, in play: 1346.8140994034522, total: 10049.680604007706
day: 132, date: 2009-07-14, price: 1.39787, Account Balance: 8572.32350703519, in play: 1474.9513731707111, total: 10047.2748802059
day: 133, date: 2009-07-15, price: 1.40908, Account Balance: 8443.738654429662, in play: 1616.395533931469, total: 10060.134188361131
day: 134, date: 2009-07-16, price: 1.41309, Account Balance: 8725.679253087867, in play: 1338.2525651384597, total: 10063.931818226327
day: 135, date: 2009-07-17, price: 1.40986, Account Balance: 9380.561967349211, in play: 675.8755344041606, total: 10056.437501753371
day: 136, date: 2009-07-18, price: 1.40986, Account Balance: 9239.853537838973, in play: 816.5839639143987, total: 10056.437501753371
day: 137, date: 2009-07-19, price: 1.41333, Account Balance: 9101.255734771388, in play: 957.5326959617597, total: 10058.788430733148
day: 138, date: 2009-07-20, price: 1.42075, Account Balance: 9092.495104347105, in play: 971.3663783143153, total: 10063.86148266142
day: 139, date: 2009-07-21, price: 1.41972, Account Balance: 9217.463348729283, in play: 838.018877628829, total: 10055.482226358112
day: 140, date: 2009-07-22, price: 1.42008, Account Balance: 9079.201398498344, in play: 976.5283844892654, total: 10055.72978298761
day: 141, date: 2009-07-23, price: 1.41609, Account Balance: 8943.013377520869, in play: 1109.5900052232246, total: 10052.603382744093
day: 142, date: 2009-07-24, price: 1.42006, Account Balance: 8808.868176858055, in play: 1247.2220102327724, total: 10056.090187090827
day: 143, date: 2009-07-25, price: 1.42006, Account Balance: 8676.735154205184, in play: 1379.3550328856431, total: 10056.090187090827
day: 144, date: 2009-07-26, price: 1.41913, Account Balance: 8546.584126892107, in play: 1508.5174818034525, total: 10055.101608695559
day: 145, date: 2009-07-27, price: 1.4244, Account Balance: 8418.385364988726, in play: 1642.7942595364866, total: 10061.179624525212
day: 146, date: 2009-07-28, price: 1.41451, Account Balance: 8696.70982438794, in play: 1349.2876840931185, total: 10045.99750848106
day: 147, date: 2009-07-29, price: 1.40137, Account Balance: 8566.259177022122, in play: 1465.9923970538287, total: 10032.251574075952
day: 148, date: 2009-07-30, price: 1.40831, Account Balance: 9500.765448687913, in play: 555.6176397582373, total: 10056.38308844615
day: 149, date: 2009-07-31, price: 1.42555, Account Balance: 9358.253966957594, in play: 706.675354955948, total: 10064.929321913543
day: 150, date: 2009-08-01, price: 1.42555, Account Balance: 9504.942822533198, in play: 559.9864993803459, total: 10064.929321913543
day: 151, date: 2009-08-02, price: 1.42873, Account Balance: 9362.368680195199, in play: 704.1278563657881, total: 10066.496536560988
day: 152, date: 2009-08-03, price: 1.44065, Account Balance: 9625.77117180009, in play: 438.1711882328601, total: 10063.94236003295
day: 153, date: 2009-08-04, price: 1.44147, Account Balance: 9767.392029249278, in play: 296.71912353086395, total: 10064.111152780142
day: 154, date: 2009-08-05, price: 1.4408, Account Balance: 9620.881148810538, in play: 443.02398920505055, total: 10063.905138015589
day: 155, date: 2009-08-06, price: 1.43683, Account Balance: 9476.56793157838, in play: 585.7188494761067, total: 10062.286781054487
day: 156, date: 2009-08-07, price: 1.41804, Account Balance: 9334.419412604704, in play: 718.3487560508406, total: 10052.768168655544
day: 157, date: 2009-08-08, price: 1.41804, Account Balance: 9776.113655180716, in play: 294.36339861480485, total: 10070.477053795521
day: 158, date: 2009-08-09, price: 1.41917, Account Balance: 9629.471950353005, in play: 441.3565291899487, total: 10070.828479542954
day: 159, date: 2009-08-10, price: 1.41289, Account Balance: 9485.02987109771, in play: 583.2063782959057, total: 10068.236249393614
day: 160, date: 2009-08-11, price: 1.41507, Account Balance: 9485.540210033596, in play: 583.5951025325279, total: 10069.135312566124
day: 161, date: 2009-08-12, price: 1.42157, Account Balance: 9343.257106883091, in play: 729.212463590372, total: 10072.469570473462
day: 162, date: 2009-08-13, price: 1.42718, Account Balance: 9203.108250279845, in play: 872.792116430375, total: 10075.90036671022
day: 163, date: 2009-08-14, price: 1.42011, Account Balance: 9208.783784056905, in play: 862.8210388260778, total: 10071.604822882982
day: 164, date: 2009-08-15, price: 1.42011, Account Balance: 9070.652027296052, in play: 1000.9527955869314, total: 10071.604822882982
day: 165, date: 2009-08-16, price: 1.41677, Account Balance: 8934.59224688661, in play: 1134.3384014579015, total: 10068.93064834451
day: 166, date: 2009-08-17, price: 1.41055, Account Balance: 8800.573363183312, in play: 1262.788856754541, total: 10063.362219937853
day: 167, date: 2009-08-18, price: 1.41271, Account Balance: 8805.086960005017, in play: 1260.2020789477262, total: 10065.289038952744
